,name,address,sido,gugun
250,덕천점,경기도 안양시만안구 덕천로128번길 18(안양동),경기도,안양시만안구
251,덕풍동점,"경기도 하남시 신장로 104(신장동,성원쌍떼빌)",경기도,하남시
252,도계점,"강원도 삼척시  도계읍 도계로 228, 1/3",강원도,삼척시
253,도고점,충청남도 아산시 도고면 아산만로 162-1,충청남도,아산시
254,도구점,경상북도 포항시남구 동해면 일월로 116,경상북도,포항시남구
255,도당점,경기도 부천시원미구 옥산로 145,경기도,부천시원미구
256,도련점,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103호",제주특별자치도,제주시
257,도림주공점,인천광역시 남동구 논고개로 299,인천광역시,남동구
258,도립대점,강원도 강릉시  주문진읍 연주로 261-1,강원도,강릉시
259,도마점,대전광역시 서구 도마5길 4,대전광역시,서구
260,도봉점,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)",서울특별시,도봉구
261,도안지구점,대전광역시 유성구 원신흥남로 11번길 6-22 (102호),대전광역시,유성구
262,도영점,강원도 원주시 남원로 527번길 6-34(명륜동),강원도,원주시
263,도평점,경기도 광주시 초월읍 현산로 89-6,경기도,광주시
264,도화동점,서울특별시 마포구 도화2안길 10,서울특별시,마포구
265,독립문점,서울특별시 종로구 통일로 222(교북동),서울특별시,종로구
266,독산1점,서울특별시 금천구 가산로 80,서울특별시,금천구
267,독산3점,서울특별시 금천구 독산로 319 (독산동),서울특별시,금천구
268,동광양점,전라남도 광양시 중마로 201,전라남도,광양시
269,동대동점,충청남도 보령시 작은오랏2길 60-6,충청남도,보령시
270,동두천역전점,경기도 동두천시 생연로 120(생연동),경기도,동두천시
271,동두천터미널점,경기도 동두천시 중앙로265번길 15,경기도,동두천시
272,동명동점,강원도 속초시 번영로105번길 19(동명동),강원도,속초시
273,동명점,경상북도 칠곡군 동명면 봉암1길 7,경상북도,칠곡군
274,동보점,강원도 원주시 진광길 30(우산동),강원도,원주시
275,동삼점,부산광역시 영도구 태종로 688-2(동삼동),부산광역시,영도구
276,동송점,강원도 철원군  동송읍 금학로 232,강원도,철원군
277,동아점,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3,경기도,고양시일산동구
278,동암남점,인천광역시 부평구 경인로701번길 43 1층,인천광역시,부평구
279,동천동점,경기도 용인시수지구 고기로45번길 58 동문그린아파트 상가101호,경기도,용인시수지구
280,동천점,경상북도 경주시 탈해로47번길 6-4,경상북도,경주시
281,동촌점,대구광역시 동구 해동로 243-1,대구광역시,동구
282,동탄1점,"경기도 화성시 동탄지성로 150-9(능동,상가101호)",경기도,화성시
283,동탄2점,경기도 화성시 동탄청계로 303-14,경기도,화성시
284,동탄반송점,"경기도 화성시 노작로3길 22,1층 일부호(반송동)",경기도,화성시
285,동탄호수공원점,경기도 화성시 동탄순환대로 127-9 1층 116호,경기도,화성시
286,동해점,강원도 동해시  천곡2길 4(천곡동),강원도,동해시
287,두구동점,부산광역시 금정구 체육공원로 618,부산광역시,금정구
288,두정점,충청남도 천안시서북구 부성6길 23,충청남도,천안시서북구
289,두호점,경상북도 포항시북구 삼호로321번길 12 ,경상북도,포항시북구
290,둔덕점,전라남도 여수시 만성로 20,전라남도,여수시
291,둔산1점,대전광역시 서구 둔산로 201 국화동성@상가 202호,대전광역시,서구
292,둔산2점,대전광역시 서구 둔산로218번길 29,대전광역시,서구
293,등촌제일점,서울특별시 강서구 양천로60길 6 (등촌동),서울특별시,강서구
294,뚝섬점,서울특별시 광진구 뚝섬로23길 50,서울특별시,광진구
295,레이크타운점,"경기도 안산시단원구 광덕1로 195, 104호",경기도,안산시단원구
296,마석점,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)",경기도,남양주시
297,마송점,경기도 김포시 통진읍 조강로 49,경기도,김포시
298,마전역점,인천광역시 서구 완정로 70,인천광역시,서구
299,마전점,충청남도 금산군 추부면 마전로 55,충청남도,금산군
300,마천1점,서울특별시 송파구 마천로61길 9(마천동),서울특별시,송파구
301,마평리점,경기도 용인시처인구 금령로 129(마평동),경기도,용인시처인구
302,만년점,대전광역시 서구 만년로16번길 27(만년동),대전광역시,서구
303,만수1점,"인천광역시 남동구 만수서로 97-17, 103호",인천광역시,남동구
304,만수3점,인천광역시 남동구 백범로214번길 6-2,인천광역시,남동구
305,만수삼환점,인천광역시 남동구 소래로669번길 30 106호,인천광역시,남동구
306,만수주공점,인천광역시 남동구 장승남로34번길 22 상가 111호,인천광역시,남동구
307,만촌점,대구광역시 수성구 국채보상로 1024,대구광역시,수성구
308,망상점,"강원도 동해시  동해대로 6270-16, 1층 111호(망상동)",강원도,동해시
309,망우동점,서울특별시 중랑구 용마산로 456 (망우동),서울특별시,중랑구
310,망원동점,서울특별시 마포구 방울내로 66,서울특별시,마포구
311,매산점,경기도 수원시팔달구 갓매산로26번길 24,경기도,수원시팔달구
312,매송점,경기도 화성시 매송면 화성로 2358번길 37,경기도,화성시
313,매탄점,경기도 수원시영통구 동수원로514번 15 103호,경기도,수원시영통구
314,매화동점,경기도 시흥시 매화1로 21,경기도,시흥시
